absolutističnostima | ABSOLUTISTIČNOST - [pravopis]
antiimperialistično | ANTIIMPERIALISTIČEN - ki je proti imperializmu
antiimperialistkama | ANTIIMPERIALISTKA - [pravopis]
antiimperialistkami | ANTIIMPERIALISTKA - [pravopis]
antiklerikalnostima | ANTIKLERIKALNOST - [pravopis]
antikoncepcionalnem | ANTIKONCEPCIONALEN - ki deluje proti spočetju
antikoncepcionalnih | ANTIKONCEPCIONALEN - ki deluje proti spočetju
antikoncepcionalnim | ANTIKONCEPCIONALEN - ki deluje proti spočetju
antikorozijskostima | ANTIKOROZIJSKOST - [pravopis]
antilogaritmiranjem | ANTILOGARITMIRANJE - glagolnik od antilogaritmirati
antilogaritmiranjih | ANTILOGARITMIRANJE - glagolnik od antilogaritmirati
antimarksističnosti | ANTIMARKSISTIČNOST - [pravopis]
antimaterialističen | ki je proti materializmu
antimaterialistična | ANTIMATERIALISTIČEN - ki je proti materializmu
antimaterialistične | ANTIMATERIALISTIČEN - ki je proti materializmu
antimaterialistični | ANTIMATERIALISTIČEN - ki je proti materializmu
antimaterialistično | ANTIMATERIALISTIČEN - ki je proti materializmu
antimetafizičnostih | ANTIMETAFIZIČNOST - [pravopis]
antimetafizičnostim | ANTIMETAFIZIČNOST - [pravopis]
antimetafizičnostjo | ANTIMETAFIZIČNOST - [pravopis]
antimetafizičnostma | ANTIMETAFIZIČNOST - [pravopis]
antimetafizičnostmi | ANTIMETAFIZIČNOST - [pravopis]
antimilitarističnem | ANTIMILITARISTIČEN - ki je proti militarizmu
antimilitarističnih | ANTIMILITARISTIČEN - ki je proti militarizmu
antimilitarističnim | ANTIMILITARISTIČEN - ki je proti militarizmu
antinacističnostima | ANTINACISTIČNOST - [pravopis]
antireligioznostima | ANTIRELIGIOZNOST - [pravopis]
antirevolucionarnem | ANTIREVOLUCIONAREN - ki je proti revoluciji
antirevolucionarnih | ANTIREVOLUCIONAREN - ki je proti revoluciji
antirevolucionarnim | ANTIREVOLUCIONAREN - ki je proti revoluciji
antisocialističnega | ANTISOCIALISTIČEN - ki je proti socializmu
antisocialističnemu | ANTISOCIALISTIČEN - ki je proti socializmu
antisocialističnima | ANTISOCIALISTIČEN - ki je proti socializmu
antisocialističnimi | ANTISOCIALISTIČEN - ki je proti socializmu
antituberkulotikoma | ANTITUBERKULOTIK - [farm.] zdravilo ali učinkovina, ki se uporablja za zdravljenje tuberkuloze
antropocentričnosti | ANTROPOCENTRIČNOST - lastnost, značilnost antropocentričnega
antropogeniziranega | ANTROPOGENIZIRAN - [geog.] v zvezi »antropogenizirana prst«: prst, ki se zaradi posegov človeka razlikuje od naravne
antropogeniziranemu | ANTROPOGENIZIRAN - [geog.] v zvezi »antropogenizirana prst«: prst, ki se zaradi posegov človeka razlikuje od naravne
antropogeniziranima | ANTROPOGENIZIRAN - [geog.] v zvezi »antropogenizirana prst«: prst, ki se zaradi posegov človeka razlikuje od naravne
antropogeniziranimi | ANTROPOGENIZIRAN - [geog.] v zvezi »antropogenizirana prst«: prst, ki se zaradi posegov človeka razlikuje od naravne
antropogeografijama | ANTROPOGEOGRAFIJA - veda, ki raziskuje odnose med človekom in naravo
antropogeografijami | ANTROPOGEOGRAFIJA - veda, ki raziskuje odnose med človekom in naravo
antropogeografskega | ANTROPOGEOGRAFSKI - nanašajoč se na antropogeografijo
antropogeografskemu | ANTROPOGEOGRAFSKI - nanašajoč se na antropogeografijo
antropogeografskima | ANTROPOGEOGRAFSKI - nanašajoč se na antropogeografijo
antropogeografskimi | ANTROPOGEOGRAFSKI - nanašajoč se na antropogeografijo
antropometričnostih | ANTROPOMETRIČNOST - [pravopis]
antropometričnostim | ANTROPOMETRIČNOST - [pravopis]
antropometričnostjo | ANTROPOMETRIČNOST - [pravopis]
antropometričnostma | ANTROPOMETRIČNOST - [pravopis]
antropometričnostmi | ANTROPOMETRIČNOST - [pravopis]
antropomorfizirajmo | ANTROPOMORFIZIRATI - prisojati človeške lastnosti stvarem, pojavom zunaj človeka
antropomorfizirajta | ANTROPOMORFIZIRATI - prisojati človeške lastnosti stvarem, pojavom zunaj človeka
antropomorfizirajte | ANTROPOMORFIZIRATI - prisojati človeške lastnosti stvarem, pojavom zunaj človeka
antropomorfizirajva | ANTROPOMORFIZIRATI - prisojati človeške lastnosti stvarem, pojavom zunaj človeka
aproksimativnostima | APROKSIMATIVNOST - značilnost aproksimativnega, približnost
ariloksialkanojskem | ARILOKSIALKANOJSKI - > FIBRATI - [farm.] antihiperlipemiki, derivati ariloksialkanojskih kislin, ki znižujejo zlasti plazemske koncentracije trigliceridov, manj pa holesterola, npr. klofibrat, bezafibrat
ariloksialkanojskih | ARILOKSIALKANOJSKI - > FIBRATI - [farm.] antihiperlipemiki, derivati ariloksialkanojskih kislin, ki znižujejo zlasti plazemske koncentracije trigliceridov, manj pa holesterola, npr. klofibrat, bezafibrat
ariloksialkanojskim | ARILOKSIALKANOJSKI - > FIBRATI - [farm.] antihiperlipemiki, derivati ariloksialkanojskih kislin, ki znižujejo zlasti plazemske koncentracije trigliceridov, manj pa holesterola, npr. klofibrat, bezafibrat
aristokratičnostima | ARISTOKRATIČNOST
arteriosklerotičnem | ARTERIOSKLEROTIČEN - nanašajoč se na arteriosklerozo
arteriosklerotičnih | ARTERIOSKLEROTIČEN - nanašajoč se na arteriosklerozo
arteriosklerotičnim | ARTERIOSKLEROTIČEN - nanašajoč se na arteriosklerozo
arteriosklerotikoma | ARTERIOSKLEROTIK - kdor ima arteriosklerozo
asimptomatičnostima | ASIMPTOMATIČNOST - [sprotni] stanje bolnika, da kljub okužbi ne kaže simptomov
avdiovizualizacijah | AVDIOVIZUALIZACIJA - [pravopis]
avdiovizualizacijam | AVDIOVIZUALIZACIJA - [pravopis]
avskultatoričnostih | AVSKULTATORIČNOST - [pravopis]
avskultatoričnostim | AVSKULTATORIČNOST - [pravopis]
avskultatoričnostjo | AVSKULTATORIČNOST - [pravopis]
avskultatoričnostma | AVSKULTATORIČNOST - [pravopis]
avskultatoričnostmi | AVSKULTATORIČNOST - [pravopis]
avstrijskokoroškega | AVSTRIJSKOKOROŠKI - [epravopis] nanašajoč se na avstrijsko Koroško
avstrijskokoroškemu | AVSTRIJSKOKOROŠKI - [epravopis] nanašajoč se na avstrijsko Koroško
avstrijskokoroškima | AVSTRIJSKOKOROŠKI - [epravopis] nanašajoč se na avstrijsko Koroško
avstrijskokoroškimi | AVSTRIJSKOKOROŠKI - [epravopis] nanašajoč se na avstrijsko Koroško
avstrijskoštajerska | AVSTRIJSKOŠTAJERSKI - [epravopis] nanašajoč se na avstrijsko Štajersko
avstrijskoštajerske | AVSTRIJSKOŠTAJERSKI - [epravopis] nanašajoč se na avstrijsko Štajersko
avstrijskoštajerski | [epravopis] nanašajoč se na avstrijsko Štajersko
avstrijskoštajersko | AVSTRIJSKOŠTAJERSKI - [epravopis] nanašajoč se na avstrijsko Štajersko
avstromarksističnem | AVSTROMARKSISTIČEN - nanašajoč se na avstromarksiste ali avstromarksizem
avstromarksističnih | AVSTROMARKSISTIČEN - nanašajoč se na avstromarksiste ali avstromarksizem
avstromarksističnim | AVSTROMARKSISTIČEN - nanašajoč se na avstromarksiste ali avstromarksizem
avtobiografičnostih | AVTOBIOGRAFIČNOST - lastnost, značilnost avtobiografskega
avtobiografičnostim | AVTOBIOGRAFIČNOST - lastnost, značilnost avtobiografskega
avtobiografičnostjo | AVTOBIOGRAFIČNOST - lastnost, značilnost avtobiografskega
avtobiografičnostma | AVTOBIOGRAFIČNOST - lastnost, značilnost avtobiografskega
avtobiografičnostmi | AVTOBIOGRAFIČNOST - lastnost, značilnost avtobiografskega
avtobiografskostima | AVTOBIOGRAFSKOST - [pravopis]
avtoelektrikaricama | AVTOELEKTRIKARICA - [pravopis]
avtoelektrikaricami | AVTOELEKTRIKARICA - [pravopis]
avtoelektrikaričina | AVTOELEKTRIKARIČIN - [pravopis]
avtoelektrikaričine | AVTOELEKTRIKARIČIN - [pravopis]
avtoelektrikaričini | AVTOELEKTRIKARIČIN - [pravopis]
avtoelektrikaričino | AVTOELEKTRIKARIČIN - [pravopis]
avtoelektrikarjevem | AVTOELEKTRIKARJEV - [pravopis]
avtoelektrikarjevih | AVTOELEKTRIKARJEV - [pravopis]
avtoelektrikarjevim | AVTOELEKTRIKARJEV - [pravopis]
avtointoksikacijama | AVTOINTOKSIKACIJA - zastrupljenje s presnovki lastnega telesa
avtointoksikacijami | AVTOINTOKSIKACIJA - zastrupljenje s presnovki lastnega telesa
avtomatiziranostima | AVTOMATIZIRANOST - [pravopis]
avtopopravljalnicah | AVTOPOPRAVLJALNICA - delavnica za popravljanje avtomobilov
avtopopravljalnicam | AVTOPOPRAVLJALNICA - delavnica za popravljanje avtomobilov
avtosugestivnostima | AVTOSUGESTIVNOST - [pravopis]
bakterioklorofiloma | BAKTERIOKLOROFIL - [bot.] klorofilu podobno glavno fotosintezno barvilo, značilno za fotoavtotrofne bakterije
balkanskopolotoškem | BALKANSKOPOLOTOŠKI - [pravopis]
balkanskopolotoških | BALKANSKOPOLOTOŠKI - [pravopis]
balkanskopolotoškim | BALKANSKOPOLOTOŠKI - [pravopis]
benzilaminopurinoma | BENZILAMINOPURIN - [bot.] sintetični citokinin, pogosto uporabljan v tkivnih kulturah
besedilnokritičnega | BESEDILNOKRITIČEN - [pravopis]
besedilnokritičnemu | BESEDILNOKRITIČEN - [pravopis]
besedilnokritičnima | BESEDILNOKRITIČEN - [pravopis]
besedilnokritičnimi | BESEDILNOKRITIČEN - [pravopis]
besednoumetnostnega | BESEDNOUMETNOSTEN - [pravopis]
besednoumetnostnemu | BESEDNOUMETNOSTEN - [pravopis]
besednoumetnostnima | BESEDNOUMETNOSTEN - [pravopis]
besednoumetnostnimi | BESEDNOUMETNOSTEN - [pravopis]
biodegradibilnostih | BIODEGRADIBILNOST - [geog.] lastnost odmrlih organskih spojin, da se s pomočjo mikroorganizmov naravno razkrojijo, s čimer se zmanjšuje škodljivost v okolje vnesenih odpadnih snovi
biodegradibilnostim | BIODEGRADIBILNOST - [geog.] lastnost odmrlih organskih spojin, da se s pomočjo mikroorganizmov naravno razkrojijo, s čimer se zmanjšuje škodljivost v okolje vnesenih odpadnih snovi
biodegradibilnostjo | BIODEGRADIBILNOST - [geog.] lastnost odmrlih organskih spojin, da se s pomočjo mikroorganizmov naravno razkrojijo, s čimer se zmanjšuje škodljivost v okolje vnesenih odpadnih snovi
biodegradibilnostma | BIODEGRADIBILNOST - [geog.] lastnost odmrlih organskih spojin, da se s pomočjo mikroorganizmov naravno razkrojijo, s čimer se zmanjšuje škodljivost v okolje vnesenih odpadnih snovi
biodegradibilnostmi | BIODEGRADIBILNOST - [geog.] lastnost odmrlih organskih spojin, da se s pomočjo mikroorganizmov naravno razkrojijo, s čimer se zmanjšuje škodljivost v okolje vnesenih odpadnih snovi
biointrapelmikritih | BIOINTRAPELMIKRIT - [geol.] mikrit, ki vsebuje več kot 25 % fosilov, intraklastov in peletov
biointrapelmikritom | BIOINTRAPELMIKRIT - [geol.] mikrit, ki vsebuje več kot 25 % fosilov, intraklastov in peletov
biointrapelmikritov | BIOINTRAPELMIKRIT - [geol.] mikrit, ki vsebuje več kot 25 % fosilov, intraklastov in peletov
biokibernetičarkama | BIOKIBERNETIČARKA - [pravopis]
biokibernetičarkami | BIOKIBERNETIČARKA - [pravopis]
biokompatibilnostih | BIOKOMPATIBILNOST - [farm.] neškodljiva prisotnost ali interakcija materiala ali dostavnega sistema v biološkem okolju ali z biološkim okoljem, npr. celice, tkiva, organi
biokompatibilnostim | BIOKOMPATIBILNOST - [farm.] neškodljiva prisotnost ali interakcija materiala ali dostavnega sistema v biološkem okolju ali z biološkim okoljem, npr. celice, tkiva, organi
biokompatibilnostjo | BIOKOMPATIBILNOST - [farm.] neškodljiva prisotnost ali interakcija materiala ali dostavnega sistema v biološkem okolju ali z biološkim okoljem, npr. celice, tkiva, organi
biokompatibilnostma | BIOKOMPATIBILNOST - [farm.] neškodljiva prisotnost ali interakcija materiala ali dostavnega sistema v biološkem okolju ali z biološkim okoljem, npr. celice, tkiva, organi
biokompatibilnostmi | BIOKOMPATIBILNOST - [farm.] neškodljiva prisotnost ali interakcija materiala ali dostavnega sistema v biološkem okolju ali z biološkim okoljem, npr. celice, tkiva, organi
biometeorologinjama | BIOMETEOROLOGINJA - [pravopis]
biometeorologinjami | BIOMETEOROLOGINJA - [pravopis]
biotransformacijama | BIOTRANSFORMACIJA - [farm.] skupina encimsko kataliziranih biokemičnih procesov, ki v organizem vnesene snovi, zlasti ksenobiotike, npr. zdravila, pretvorijo v obliko, ki se lažje in hitreje izloči iz organizma
