anarhoindividualističen | ki se nagiba k anarhiji in poudarja vlogo posameznika
blagovnodistribucijskem | BLAGOVNODISTRIBUCIJSKI - [geog.] v zvezi »blagovnodistribucijski center«: kraj z objekti in napravami za skladiščenje in razdeljevanje, razpošiljanje blaga
blagovnodistribucijskih | BLAGOVNODISTRIBUCIJSKI - [geog.] v zvezi »blagovnodistribucijski center«: kraj z objekti in napravami za skladiščenje in razdeljevanje, razpošiljanje blaga
blagovnodistribucijskim | BLAGOVNODISTRIBUCIJSKI - [geog.] v zvezi »blagovnodistribucijski center«: kraj z objekti in napravami za skladiščenje in razdeljevanje, razpošiljanje blaga
buržoaznodemokratičnega | BURŽOAZNODEMOKRATIČEN - nanašajoč se na buržoazno demokracijo
buržoaznodemokratičnemu | BURŽOAZNODEMOKRATIČEN - nanašajoč se na buržoazno demokracijo
buržoaznodemokratičnima | BURŽOAZNODEMOKRATIČEN - nanašajoč se na buržoazno demokracijo
buržoaznodemokratičnimi | BURŽOAZNODEMOKRATIČEN - nanašajoč se na buržoazno demokracijo
deinstitucionalizacijah | DEINSTITUCIONALIZACIJA - odvzem ustaljene, zakonske oblike
deinstitucionalizacijam | DEINSTITUCIONALIZACIJA - odvzem ustaljene, zakonske oblike
dekonstitucionalizacija | [prav.] odprava ali ukinitev ustavne določbe ali njen prenos v nižji pravni akt, npr. zakon
dekonstitucionalizacije | DEKONSTITUCIONALIZACIJA - [prav.] odprava ali ukinitev ustavne določbe ali njen prenos v nižji pravni akt, npr. zakon
dekonstitucionalizaciji | DEKONSTITUCIONALIZACIJA - [prav.] odprava ali ukinitev ustavne določbe ali njen prenos v nižji pravni akt, npr. zakon
dekonstitucionalizacijo | DEKONSTITUCIONALIZACIJA - [prav.] odprava ali ukinitev ustavne določbe ali njen prenos v nižji pravni akt, npr. zakon
dezoksiribonukleinskega | DEZOKSIRIBONUKLEINSKI - nukleinska kislina, ki nosi zapis genske informacije v vseh živih bitjih
dezoksiribonukleinskemu | DEZOKSIRIBONUKLEINSKI - nukleinska kislina, ki nosi zapis genske informacije v vseh živih bitjih
dezoksiribonukleinskima | DEZOKSIRIBONUKLEINSKI - nukleinska kislina, ki nosi zapis genske informacije v vseh živih bitjih
dezoksiribonukleinskimi | DEZOKSIRIBONUKLEINSKI - nukleinska kislina, ki nosi zapis genske informacije v vseh živih bitjih
dinamohidrometamorfozah | DINAMOHIDROMETAMORFOZA - [geol.] metamorfoza, ki je posledica tektonskih procesov, zvišanega tlaka in vodnih raztopin
dinamohidrometamorfozam | DINAMOHIDROMETAMORFOZA - [geol.] metamorfoza, ki je posledica tektonskih procesov, zvišanega tlaka in vodnih raztopin
disproporcioniranostima | DISPROPORCIONIRANOST - značilnost disproporcioniranega
drobnokapitalističnosti | DROBNOKAPITALISTIČNOST - [pravopis]
drobnoproizvajalskostih | DROBNOPROIZVAJALSKOST - [pravopis]
drobnoproizvajalskostim | DROBNOPROIZVAJALSKOST - [pravopis]
drobnoproizvajalskostjo | DROBNOPROIZVAJALSKOST - [pravopis]
drobnoproizvajalskostma | DROBNOPROIZVAJALSKOST - [pravopis]
drobnoproizvajalskostmi | DROBNOPROIZVAJALSKOST - [pravopis]
družbenozgodovinskostih | DRUŽBENOZGODOVINSKOST - [pravopis]
družbenozgodovinskostim | DRUŽBENOZGODOVINSKOST - [pravopis]
družbenozgodovinskostjo | DRUŽBENOZGODOVINSKOST - [pravopis]
družbenozgodovinskostma | DRUŽBENOZGODOVINSKOST - [pravopis]
družbenozgodovinskostmi | DRUŽBENOZGODOVINSKOST - [pravopis]
državnoadministrativnem | DRŽAVNOADMINISTRATIVEN - nanašajoč se na državno administracijo
državnoadministrativnih | DRŽAVNOADMINISTRATIVEN - nanašajoč se na državno administracijo
državnoadministrativnim | DRŽAVNOADMINISTRATIVEN - nanašajoč se na državno administracijo
državnokapitalističnega | DRŽAVNOKAPITALISTIČEN - nanašajoč se na državni kapitalizem
državnokapitalističnemu | DRŽAVNOKAPITALISTIČEN - nanašajoč se na državni kapitalizem
državnokapitalističnima | DRŽAVNOKAPITALISTIČEN - nanašajoč se na državni kapitalizem
državnokapitalističnimi | DRŽAVNOKAPITALISTIČEN - nanašajoč se na državni kapitalizem
državnomonopolističnega | DRŽAVNOMONOPOLISTIČEN - nanašajoč se na državni monopol
državnomonopolističnemu | DRŽAVNOMONOPOLISTIČEN - nanašajoč se na državni monopol
državnomonopolističnima | DRŽAVNOMONOPOLISTIČEN - nanašajoč se na državni monopol
državnomonopolističnimi | DRŽAVNOMONOPOLISTIČEN - nanašajoč se na državni monopol
dvanajsteroploskvenikih | DVANAJSTEROPLOSKVENIK - [geol.] v zvezi »pentagonski dvanajsteroploskvenik«: kristalni lik v kubičnem kristalografskem sistemu z dvanajstimi simetričnimi peterokotnimi ploskvami
dvanajsteroploskvenikom | DVANAJSTEROPLOSKVENIK - [geol.] v zvezi »pentagonski dvanajsteroploskvenik«: kristalni lik v kubičnem kristalografskem sistemu z dvanajstimi simetričnimi peterokotnimi ploskvami
dvanajsteroploskvenikov | DVANAJSTEROPLOSKVENIK - [geol.] v zvezi »pentagonski dvanajsteroploskvenik«: kristalni lik v kubičnem kristalografskem sistemu z dvanajstimi simetričnimi peterokotnimi ploskvami
ekshibicionističnostima | EKSHIBICIONISTIČNOST - [pravopis]
eksistencialističnostih | EKSISTENCIALISTIČNOST - [pravopis]
eksistencialističnostim | EKSISTENCIALISTIČNOST - [pravopis]
eksistencialističnostjo | EKSISTENCIALISTIČNOST - [pravopis]
eksistencialističnostma | EKSISTENCIALISTIČNOST - [pravopis]
eksistencialističnostmi | EKSISTENCIALISTIČNOST - [pravopis]
ekstrateritorialnostima | EKSTRATERITORIALNOST - [prav.] v zvezi »načelo ekstrateritorialnosti«: načelo, po katerem je država zavezana z določeno pravno normo tudi pri ravnanju zunaj svojega ozemlja
ekvatorialnogvinejskega | EKVATORIALNOGVINEJSKI - [epravopis] 
ekvatorialnogvinejskemu | EKVATORIALNOGVINEJSKI - [epravopis] 
ekvatorialnogvinejskima | EKVATORIALNOGVINEJSKI - [epravopis] 
ekvatorialnogvinejskimi | EKVATORIALNOGVINEJSKI - [epravopis] 
elektrodistribucijskega | ELEKTRODISTRIBUCIJSKI - [gas.] v zvezi »elektrodistribucijska naprava«: oprema, ki se uporablja za distribucijo električne energije iz električnega omrežja do končnega uporabnika, npr. transformator, razdelilna omarica, stikalna postaja, kabli in vodniki
elektrodistribucijskemu | ELEKTRODISTRIBUCIJSKI - [gas.] v zvezi »elektrodistribucijska naprava«: oprema, ki se uporablja za distribucijo električne energije iz električnega omrežja do končnega uporabnika, npr. transformator, razdelilna omarica, stikalna postaja, kabli in vodniki
elektrodistribucijskima | ELEKTRODISTRIBUCIJSKI - [gas.] v zvezi »elektrodistribucijska naprava«: oprema, ki se uporablja za distribucijo električne energije iz električnega omrežja do končnega uporabnika, npr. transformator, razdelilna omarica, stikalna postaja, kabli in vodniki
elektrodistribucijskimi | ELEKTRODISTRIBUCIJSKI - [gas.] v zvezi »elektrodistribucijska naprava«: oprema, ki se uporablja za distribucijo električne energije iz električnega omrežja do končnega uporabnika, npr. transformator, razdelilna omarica, stikalna postaja, kabli in vodniki
elektroencefalografijah | ELEKTROENCEFALOGRAFIJA - snemanje razlik v električnih potencialih v možganih prek elektrod na površini glave
elektroencefalografijam | ELEKTROENCEFALOGRAFIJA - snemanje razlik v električnih potencialih v možganih prek elektrod na površini glave
elektrokemiluminiscenca | [farm.] kemiluminiscenca, ki se izzove z ustreznim električnim potencialom
elektrokemiluminiscence | ELEKTROKEMILUMINISCENCA - [farm.] kemiluminiscenca, ki se izzove z ustreznim električnim potencialom
elektrokemiluminiscenci | ELEKTROKEMILUMINISCENCA - [farm.] kemiluminiscenca, ki se izzove z ustreznim električnim potencialom
elektrokemiluminiscenco | ELEKTROKEMILUMINISCENCA - [farm.] kemiluminiscenca, ki se izzove z ustreznim električnim potencialom
elektroluminiscenčnosti | ELEKTROLUMINISCENČNOST - [pravopis]
elektroluminiscentnosti | ELEKTROLUMINISCENTNOST - [pravopis]
elektronskomikroskopska | ELEKTRONSKOMIKROSKOPSKI - [geol.] v zvezi »elektronskomikroskopska metoda«: preiskovanje mineralov in fosilov z elektronskim mikroskopom
elektronskomikroskopske | ELEKTRONSKOMIKROSKOPSKI - [geol.] v zvezi »elektronskomikroskopska metoda«: preiskovanje mineralov in fosilov z elektronskim mikroskopom
elektronskomikroskopski | [geol.] v zvezi »elektronskomikroskopska metoda«: preiskovanje mineralov in fosilov z elektronskim mikroskopom
elektronskomikroskopsko | ELEKTRONSKOMIKROSKOPSKI - [geol.] v zvezi »elektronskomikroskopska metoda«: preiskovanje mineralov in fosilov z elektronskim mikroskopom
encimskoimunokemijskega | ENCIMSKOIMUNOKEMIJSKI - [farm.] v zvezi »encimskoimunokemijski test«: tehnika merjenja antigena v vzorcih, pri kateri se količina nastalih imunskih kompleksov določi s kemijsko reakcijo, ki jo katalizira encim, vezan na protitelo, ki z antigenom tvori imunske komplekse
encimskoimunokemijskemu | ENCIMSKOIMUNOKEMIJSKI - [farm.] v zvezi »encimskoimunokemijski test«: tehnika merjenja antigena v vzorcih, pri kateri se količina nastalih imunskih kompleksov določi s kemijsko reakcijo, ki jo katalizira encim, vezan na protitelo, ki z antigenom tvori imunske komplekse
encimskoimunokemijskima | ENCIMSKOIMUNOKEMIJSKI - [farm.] v zvezi »encimskoimunokemijski test«: tehnika merjenja antigena v vzorcih, pri kateri se količina nastalih imunskih kompleksov določi s kemijsko reakcijo, ki jo katalizira encim, vezan na protitelo, ki z antigenom tvori imunske komplekse
encimskoimunokemijskimi | ENCIMSKOIMUNOKEMIJSKI - [farm.] v zvezi »encimskoimunokemijski test«: tehnika merjenja antigena v vzorcih, pri kateri se količina nastalih imunskih kompleksov določi s kemijsko reakcijo, ki jo katalizira encim, vezan na protitelo, ki z antigenom tvori imunske komplekse
farmacevtskotehnološkem | FARMACEVTSKOTEHNOLOŠKI - > KRUŠLJIVOST - [farm.] farmakopejski preskus s Seznama farmacevtskotehnoloških postopkov, s katerim se preverja poškodovanost tablet, zrnc ali pelet po mehanski obremenitvi, ki se izraža kot izguba mase v odstotkih
farmacevtskotehnoloških | FARMACEVTSKOTEHNOLOŠKI - > KRUŠLJIVOST - [farm.] farmakopejski preskus s Seznama farmacevtskotehnoloških postopkov, s katerim se preverja poškodovanost tablet, zrnc ali pelet po mehanski obremenitvi, ki se izraža kot izguba mase v odstotkih
farmacevtskotehnološkim | FARMACEVTSKOTEHNOLOŠKI - > KRUŠLJIVOST - [farm.] farmakopejski preskus s Seznama farmacevtskotehnoloških postopkov, s katerim se preverja poškodovanost tablet, zrnc ali pelet po mehanski obremenitvi, ki se izraža kot izguba mase v odstotkih
farmakoepidemiologijama | FARMAKOEPIDEMIOLOGIJA - [farm.] veja farmacije, ki uporablja epidemiološke metode in znanja za raziskovanje uporabe zdravil in njihovih želenih in neželenih učinkov na človeški populaciji
farmakoepidemiologijami | FARMAKOEPIDEMIOLOGIJA - [farm.] veja farmacije, ki uporablja epidemiološke metode in znanja za raziskovanje uporabe zdravil in njihovih želenih in neželenih učinkov na človeški populaciji
feniletilizokinolinskem | FENILETILIZOKINOLINSKI - [farm.] v zvezi »feniletilizokinolinski alkaloid«: alkaloid iz skupine izokinolinskih alkaloidov, katerega osnovna struktura je feniletilizokinolin, npr. autumnalin
feniletilizokinolinskih | FENILETILIZOKINOLINSKI - [farm.] v zvezi »feniletilizokinolinski alkaloid«: alkaloid iz skupine izokinolinskih alkaloidov, katerega osnovna struktura je feniletilizokinolin, npr. autumnalin
feniletilizokinolinskim | FENILETILIZOKINOLINSKI - [farm.] v zvezi »feniletilizokinolinski alkaloid«: alkaloid iz skupine izokinolinskih alkaloidov, katerega osnovna struktura je feniletilizokinolin, npr. autumnalin
fenoksimetilpenicilinih | FENOKSIMETILPENICILIN - > BETALAKTAMAZA - [farm.] v zvezi »penicilin, občutljiv na betalaktamaze«: penicilin, občutljiv na hidrolizo, katalizirano z bakterijskimi encimi iz skupine laktamaz beta, npr. benzilpenicilin, fenoksimetilpenicilin
fenoksimetilpenicilinom | FENOKSIMETILPENICILIN - > BETALAKTAMAZA - [farm.] v zvezi »penicilin, občutljiv na betalaktamaze«: penicilin, občutljiv na hidrolizo, katalizirano z bakterijskimi encimi iz skupine laktamaz beta, npr. benzilpenicilin, fenoksimetilpenicilin
fenoksimetilpenicilinov | FENOKSIMETILPENICILIN - > BETALAKTAMAZA - [farm.] v zvezi »penicilin, občutljiv na betalaktamaze«: penicilin, občutljiv na hidrolizo, katalizirano z bakterijskimi encimi iz skupine laktamaz beta, npr. benzilpenicilin, fenoksimetilpenicilin
finančnokazenskopravnem | FINANČNOKAZENSKOPRAVEN - [pravopis]
finančnokazenskopravnih | FINANČNOKAZENSKOPRAVEN - [pravopis]
finančnokazenskopravnim | FINANČNOKAZENSKOPRAVEN - [pravopis]
gamaglutamiltransferaza | [farm.] predstavnik skupine encimov, ki katalizirajo prenos končnega γ-glutamata od glutationa in drugih polipeptidov na nove aminokisline ali polipeptide
gamaglutamiltransferaze | GAMAGLUTAMILTRANSFERAZA - [farm.] predstavnik skupine encimov, ki katalizirajo prenos končnega γ-glutamata od glutationa in drugih polipeptidov na nove aminokisline ali polipeptide
gamaglutamiltransferazi | GAMAGLUTAMILTRANSFERAZA - [farm.] predstavnik skupine encimov, ki katalizirajo prenos končnega γ-glutamata od glutationa in drugih polipeptidov na nove aminokisline ali polipeptide
gamaglutamiltransferazo | GAMAGLUTAMILTRANSFERAZA - [farm.] predstavnik skupine encimov, ki katalizirajo prenos končnega γ-glutamata od glutationa in drugih polipeptidov na nove aminokisline ali polipeptide
generalpodpolkovničinem | GENERALPODPOLKOVNIČIN - [pravopis]
generalpodpolkovničinih | GENERALPODPOLKOVNIČIN - [pravopis]
generalpodpolkovničinim | GENERALPODPOLKOVNIČIN - [pravopis]
glasbenoinformacijskega | GLASBENOINFORMACIJSKI - [epravopis] nanašajoč se na glasbeno informatiko
glasbenoinformacijskemu | GLASBENOINFORMACIJSKI - [epravopis] nanašajoč se na glasbeno informatiko
glasbenoinformacijskima | GLASBENOINFORMACIJSKI - [epravopis] nanašajoč se na glasbeno informatiko
glasbenoinformacijskimi | GLASBENOINFORMACIJSKI - [epravopis] nanašajoč se na glasbeno informatiko
glukuronoarabinoksilana | GLUKURONOARABINOKSILAN - [bot.] polisaharid, ki je sestavljen iz molekul glukuronske kisline, arabinoze in ksiloze ter je sestavina matriksa celične stene pri dvokaličnicah /Dicotyledoneae/ in nekaterih enokaličnicah /Monocotyledoneae/
glukuronoarabinoksilane | GLUKURONOARABINOKSILAN - [bot.] polisaharid, ki je sestavljen iz molekul glukuronske kisline, arabinoze in ksiloze ter je sestavina matriksa celične stene pri dvokaličnicah /Dicotyledoneae/ in nekaterih enokaličnicah /Monocotyledoneae/
glukuronoarabinoksilani | GLUKURONOARABINOKSILAN - [bot.] polisaharid, ki je sestavljen iz molekul glukuronske kisline, arabinoze in ksiloze ter je sestavina matriksa celične stene pri dvokaličnicah /Dicotyledoneae/ in nekaterih enokaličnicah /Monocotyledoneae/
glukuronoarabinoksilanu | GLUKURONOARABINOKSILAN - [bot.] polisaharid, ki je sestavljen iz molekul glukuronske kisline, arabinoze in ksiloze ter je sestavina matriksa celične stene pri dvokaličnicah /Dicotyledoneae/ in nekaterih enokaličnicah /Monocotyledoneae/
gospodarskozgodovinskem | GOSPODARSKOZGODOVINSKI - [epravopis] nanašajoč se na gospodarsko zgodovino
gospodarskozgodovinskih | GOSPODARSKOZGODOVINSKI - [epravopis] nanašajoč se na gospodarsko zgodovino
gospodarskozgodovinskim | GOSPODARSKOZGODOVINSKI - [epravopis] nanašajoč se na gospodarsko zgodovino
hidroksimetilfurfuralih | HIDROKSIMETILFURFURAL - [čeb.] snov, ki nastaja v medu iz fruktoze ob dolgotrajnem skladiščenju pri višjih temperaturah ali ob premočnem segrevanju, izpostavljenosti soncu
hidroksimetilfurfuralom | HIDROKSIMETILFURFURAL - [čeb.] snov, ki nastaja v medu iz fruktoze ob dolgotrajnem skladiščenju pri višjih temperaturah ali ob premočnem segrevanju, izpostavljenosti soncu
hidroksimetilfurfuralov | HIDROKSIMETILFURFURAL - [čeb.] snov, ki nastaja v medu iz fruktoze ob dolgotrajnem skladiščenju pri višjih temperaturah ali ob premočnem segrevanju, izpostavljenosti soncu
hiperlipoproteinemijama | HIPERLIPOPROTEINEMIJA - [farm.] koncentracija lipoproteinov v serumu nad referenčnim območjem, pogosto povezana z razvojem ateroskleroze
hiperlipoproteinemijami | HIPERLIPOPROTEINEMIJA - [farm.] koncentracija lipoproteinov v serumu nad referenčnim območjem, pogosto povezana z razvojem ateroskleroze
histokompatibilnostnega | HISTOKOMPATIBILNOSTEN - [farm.] v zvezi »poglavitni histokompatibilnostni kompleks«: velika skupina genov v genomu večine vretenčarjev in njihovi proteinski produkti, razredov I in II, ki v imunskem sistemu sodelujejo pri razločevanju med lastnimi in tujimi antigeni v organizmu in njihovem predstavljanju limfocitom T
histokompatibilnostnemu | HISTOKOMPATIBILNOSTEN - [farm.] v zvezi »poglavitni histokompatibilnostni kompleks«: velika skupina genov v genomu večine vretenčarjev in njihovi proteinski produkti, razredov I in II, ki v imunskem sistemu sodelujejo pri razločevanju med lastnimi in tujimi antigeni v organizmu in njihovem predstavljanju limfocitom T
histokompatibilnostnima | HISTOKOMPATIBILNOSTEN - [farm.] v zvezi »poglavitni histokompatibilnostni kompleks«: velika skupina genov v genomu večine vretenčarjev in njihovi proteinski produkti, razredov I in II, ki v imunskem sistemu sodelujejo pri razločevanju med lastnimi in tujimi antigeni v organizmu in njihovem predstavljanju limfocitom T
histokompatibilnostnimi | HISTOKOMPATIBILNOSTEN - [farm.] v zvezi »poglavitni histokompatibilnostni kompleks«: velika skupina genov v genomu večine vretenčarjev in njihovi proteinski produkti, razredov I in II, ki v imunskem sistemu sodelujejo pri razločevanju med lastnimi in tujimi antigeni v organizmu in njihovem predstavljanju limfocitom T
intelektualističnostima | INTELEKTUALISTIČNOST - [pravopis]
intelektualiziranostima | INTELEKTUALIZIRANOST - [pravopis]
interdisciplinarnostima | INTERDISCIPLINARNOST - značilnost interdisciplinarnega
interkontinentalnostima | INTERKONTINENTALNOST - [pravopis]
internacionalističnosti | INTERNACIONALISTIČNOST - [pravopis]
intervencionističnostih | INTERVENCIONISTIČNOST - [pravopis]
intervencionističnostim | INTERVENCIONISTIČNOST - [pravopis]
intervencionističnostjo | INTERVENCIONISTIČNOST - [pravopis]
intervencionističnostma | INTERVENCIONISTIČNOST - [pravopis]
intervencionističnostmi | INTERVENCIONISTIČNOST - [pravopis]
invalidskopokojninskega | INVALIDSKOPOKOJNINSKI - [epravopis] nanašajoč se na invalidsko pokojnino
invalidskopokojninskemu | INVALIDSKOPOKOJNINSKI - [epravopis] nanašajoč se na invalidsko pokojnino
invalidskopokojninskima | INVALIDSKOPOKOJNINSKI - [epravopis] nanašajoč se na invalidsko pokojnino
invalidskopokojninskimi | INVALIDSKOPOKOJNINSKI - [epravopis] nanašajoč se na invalidsko pokojnino
kokamidopropilbetainoma | KOKAMIDOPROPILBETAIN - > AMFIIONSKI - [farm.] v zvezi »amfiionska površinsko aktivna snov«: površinsko aktivna snov, pri kateri ima polarni del molekule pozitivni in negativni naboj, npr. kokamidopropilbetain
konstruktivističnostima | KONSTRUKTIVISTIČNOST - [pravopis]
kontaktnometasomatskega | KONTAKTNOMETASOMATSKI - [geol.] v zvezi »kontaktnometasomatska metamorfoza«: kemične spremembe v prikamnini ob vdoru taline ali raztopine, pri čemer nastajajo novi minerali
kontaktnometasomatskemu | KONTAKTNOMETASOMATSKI - [geol.] v zvezi »kontaktnometasomatska metamorfoza«: kemične spremembe v prikamnini ob vdoru taline ali raztopine, pri čemer nastajajo novi minerali
kontaktnometasomatskima | KONTAKTNOMETASOMATSKI - [geol.] v zvezi »kontaktnometasomatska metamorfoza«: kemične spremembe v prikamnini ob vdoru taline ali raztopine, pri čemer nastajajo novi minerali
kontaktnometasomatskimi | KONTAKTNOMETASOMATSKI - [geol.] v zvezi »kontaktnometasomatska metamorfoza«: kemične spremembe v prikamnini ob vdoru taline ali raztopine, pri čemer nastajajo novi minerali
kontraobveščevalnostima | KONTRAOBVEŠČEVALNOST - [pravopis]
kontrarevolucionarnosti | KONTRAREVOLUCIONARNOST - [pravopis]
krščanskosocialističnem | KRŠČANSKOSOCIALISTIČEN - nanašajoč se na krščanski socializem
krščanskosocialističnih | KRŠČANSKOSOCIALISTIČEN - nanašajoč se na krščanski socializem
krščanskosocialističnim | KRŠČANSKOSOCIALISTIČEN - nanašajoč se na krščanski socializem
laktoovovegetarijancema | LAKTOOVOVEGETARIJANEC - [epravopis] kdor je hrano rastlinskega in mlečnega izvora ter jajca
laktoovovegetarijanskem | LAKTOOVOVEGETARIJANSKI - [epravopis] nanašajoč se na jedi mlečnega in rastlinskega izvora ter jajca
laktoovovegetarijanskih | LAKTOOVOVEGETARIJANSKI - [epravopis] nanašajoč se na jedi mlečnega in rastlinskega izvora ter jajca
laktoovovegetarijanskim | LAKTOOVOVEGETARIJANSKI - [epravopis] nanašajoč se na jedi mlečnega in rastlinskega izvora ter jajca
literarnoinformativnega | LITERARNOINFORMATIVEN - [pravopis]
literarnoinformativnemu | LITERARNOINFORMATIVEN - [pravopis]
literarnoinformativnima | LITERARNOINFORMATIVEN - [pravopis]
literarnoinformativnimi | LITERARNOINFORMATIVEN - [pravopis]
meristemartrokonidijema | MERISTEMARTROKONIDIJ - [bot.]
meščanskodemokratičnega | MEŠČANSKODEMOKRATIČEN - nanašajoč se na meščansko demokracijo
meščanskodemokratičnemu | MEŠČANSKODEMOKRATIČEN - nanašajoč se na meščansko demokracijo
meščanskodemokratičnima | MEŠČANSKODEMOKRATIČEN - nanašajoč se na meščansko demokracijo
meščanskodemokratičnimi | MEŠČANSKODEMOKRATIČEN - nanašajoč se na meščansko demokracijo
mikrobiostratigrafijama | MIKROBIOSTRATIGRAFIJA - [geol.] biostratigrafija, ki razvršča plasti po starosti glede na mikrofosile
mikrobiostratigrafijami | MIKROBIOSTRATIGRAFIJA - [geol.] biostratigrafija, ki razvršča plasti po starosti glede na mikrofosile
mladoavstroalpinidskega | MLADOAVSTROALPINIDSKI - [geol.] v zvezi »mladoavstroalpinidska orogenetska faza«: orogenetska faza alpinidske orogeneze med berriasijem in aptijem
mladoavstroalpinidskemu | MLADOAVSTROALPINIDSKI - [geol.] v zvezi »mladoavstroalpinidska orogenetska faza«: orogenetska faza alpinidske orogeneze med berriasijem in aptijem
mladoavstroalpinidskima | MLADOAVSTROALPINIDSKI - [geol.] v zvezi »mladoavstroalpinidska orogenetska faza«: orogenetska faza alpinidske orogeneze med berriasijem in aptijem
mladoavstroalpinidskimi | MLADOAVSTROALPINIDSKI - [geol.] v zvezi »mladoavstroalpinidska orogenetska faza«: orogenetska faza alpinidske orogeneze med berriasijem in aptijem
nacionalnogospodarskega | NACIONALNOGOSPODARSKI - [epravopis] nanašajoč se na nacionalno gospodarstvo
nacionalnogospodarskemu | NACIONALNOGOSPODARSKI - [epravopis] nanašajoč se na nacionalno gospodarstvo
nacionalnogospodarskima | NACIONALNOGOSPODARSKI - [epravopis] nanašajoč se na nacionalno gospodarstvo
