acilfloroglucinoloma | ACILFLOROGLUCINOL - [farm.]
angloamerikanščinama | ANGLOAMERIKANŠČINA - ameriška angleščina
angloamerikanščinami | ANGLOAMERIKANŠČINA - ameriška angleščina
antiabsolutističnega | ANTIABSOLUTISTIČEN - ki je proti absolutizmu
antiabsolutističnemu | ANTIABSOLUTISTIČEN - ki je proti absolutizmu
antiabsolutističnima | ANTIABSOLUTISTIČEN - ki je proti absolutizmu
antiabsolutističnimi | ANTIABSOLUTISTIČEN - ki je proti absolutizmu
antiavtoritarnostima | ANTIAVTORITARNOST - [pravopis]
antidemokratičnostih | ANTIDEMOKRATIČNOST - [pravopis]
antidemokratičnostim | ANTIDEMOKRATIČNOST - [pravopis]
antidemokratičnostjo | ANTIDEMOKRATIČNOST - [pravopis]
antidemokratičnostma | ANTIDEMOKRATIČNOST - [pravopis]
antidemokratičnostmi | ANTIDEMOKRATIČNOST - [pravopis]
antidialektičnostima | ANTIDIALEKTIČNOST - [pravopis]
antiglobalizacijskem | ANTIGLOBALIZACIJSKI - ki je proti globalizaciji
antiglobalizacijskih | ANTIGLOBALIZACIJSKI - ki je proti globalizaciji
antiglobalizacijskim | ANTIGLOBALIZACIJSKI - ki je proti globalizaciji
antiglukokortikoidih | ANTIGLUKOKORTIKOID - [farm.] učinkovina, ki z zaviranjem biosinteze glukokortikoidov ali z antagonističnim delovanjem na njihovih receptorjih zmanjšuje učinek glukokortikoidov v organizmu
antiglukokortikoidom | ANTIGLUKOKORTIKOID - [farm.] učinkovina, ki z zaviranjem biosinteze glukokortikoidov ali z antagonističnim delovanjem na njihovih receptorjih zmanjšuje učinek glukokortikoidov v organizmu
antiglukokortikoidov | ANTIGLUKOKORTIKOID - [farm.] učinkovina, ki z zaviranjem biosinteze glukokortikoidov ali z antagonističnim delovanjem na njihovih receptorjih zmanjšuje učinek glukokortikoidov v organizmu
antiiluzionističnega | ANTIILUZIONISTIČEN - [gled.] v zvezi »antiiluzionistično gledališče«: gledališče, ki zavrača posnemanje resničnosti, iluzijo in poistovetenje gledalca z odrskim dogajanjem / gledališki pojavi po letu 1900
antiiluzionističnemu | ANTIILUZIONISTIČEN - [gled.] v zvezi »antiiluzionistično gledališče«: gledališče, ki zavrača posnemanje resničnosti, iluzijo in poistovetenje gledalca z odrskim dogajanjem / gledališki pojavi po letu 1900
antiiluzionističnima | ANTIILUZIONISTIČEN - [gled.] v zvezi »antiiluzionistično gledališče«: gledališče, ki zavrača posnemanje resničnosti, iluzijo in poistovetenje gledalca z odrskim dogajanjem / gledališki pojavi po letu 1900
antiiluzionističnimi | ANTIILUZIONISTIČEN - [gled.] v zvezi »antiiluzionistično gledališče«: gledališče, ki zavrača posnemanje resničnosti, iluzijo in poistovetenje gledalca z odrskim dogajanjem / gledališki pojavi po letu 1900
antiimperialističnem | ANTIIMPERIALISTIČEN - ki je proti imperializmu
antiimperialističnih | ANTIIMPERIALISTIČEN - ki je proti imperializmu
antiimperialističnim | ANTIIMPERIALISTIČEN - ki je proti imperializmu
antikoncepcionalnega | ANTIKONCEPCIONALEN - ki deluje proti spočetju
antikoncepcionalnemu | ANTIKONCEPCIONALEN - ki deluje proti spočetju
antikoncepcionalnima | ANTIKONCEPCIONALEN - ki deluje proti spočetju
antikoncepcionalnimi | ANTIKONCEPCIONALEN - ki deluje proti spočetju
antilogaritmiranjema | ANTILOGARITMIRANJE - glagolnik od antilogaritmirati
antimarksističnostih | ANTIMARKSISTIČNOST - [pravopis]
antimarksističnostim | ANTIMARKSISTIČNOST - [pravopis]
antimarksističnostjo | ANTIMARKSISTIČNOST - [pravopis]
antimarksističnostma | ANTIMARKSISTIČNOST - [pravopis]
antimarksističnostmi | ANTIMARKSISTIČNOST - [pravopis]
antimaterialističnem | ANTIMATERIALISTIČEN - ki je proti materializmu
antimaterialističnih | ANTIMATERIALISTIČEN - ki je proti materializmu
antimaterialističnim | ANTIMATERIALISTIČEN - ki je proti materializmu
antimetafizičnostima | ANTIMETAFIZIČNOST - [pravopis]
antimilitarističnega | ANTIMILITARISTIČEN - ki je proti militarizmu
antimilitarističnemu | ANTIMILITARISTIČEN - ki je proti militarizmu
antimilitarističnima | ANTIMILITARISTIČEN - ki je proti militarizmu
antimilitarističnimi | ANTIMILITARISTIČEN - ki je proti militarizmu
antirevolucionarnega | ANTIREVOLUCIONAREN - ki je proti revoluciji
antirevolucionarnemu | ANTIREVOLUCIONAREN - ki je proti revoluciji
antirevolucionarnima | ANTIREVOLUCIONAREN - ki je proti revoluciji
antirevolucionarnimi | ANTIREVOLUCIONAREN - ki je proti revoluciji
antirevolucionarnost | [pravopis]
antropocentričnostih | ANTROPOCENTRIČNOST - lastnost, značilnost antropocentričnega
antropocentričnostim | ANTROPOCENTRIČNOST - lastnost, značilnost antropocentričnega
antropocentričnostjo | ANTROPOCENTRIČNOST - lastnost, značilnost antropocentričnega
antropocentričnostma | ANTROPOCENTRIČNOST - lastnost, značilnost antropocentričnega
antropocentričnostmi | ANTROPOCENTRIČNOST - lastnost, značilnost antropocentričnega
antropometričnostima | ANTROPOMETRIČNOST - [pravopis]
argentinskoslovenska | ARGENTINSKOSLOVENSKI - [epravopis] nanašajoč se na argentinske Slovence
argentinskoslovenske | ARGENTINSKOSLOVENSKI - [epravopis] nanašajoč se na argentinske Slovence
argentinskoslovenski | [epravopis] nanašajoč se na argentinske Slovence
argentinskoslovensko | ARGENTINSKOSLOVENSKI - [epravopis] nanašajoč se na argentinske Slovence
ariloksialkanojskega | ARILOKSIALKANOJSKI - > FIBRATI - [farm.] antihiperlipemiki, derivati ariloksialkanojskih kislin, ki znižujejo zlasti plazemske koncentracije trigliceridov, manj pa holesterola, npr. klofibrat, bezafibrat
ariloksialkanojskemu | ARILOKSIALKANOJSKI - > FIBRATI - [farm.] antihiperlipemiki, derivati ariloksialkanojskih kislin, ki znižujejo zlasti plazemske koncentracije trigliceridov, manj pa holesterola, npr. klofibrat, bezafibrat
ariloksialkanojskima | ARILOKSIALKANOJSKI - > FIBRATI - [farm.] antihiperlipemiki, derivati ariloksialkanojskih kislin, ki znižujejo zlasti plazemske koncentracije trigliceridov, manj pa holesterola, npr. klofibrat, bezafibrat
ariloksialkanojskimi | ARILOKSIALKANOJSKI - > FIBRATI - [farm.] antihiperlipemiki, derivati ariloksialkanojskih kislin, ki znižujejo zlasti plazemske koncentracije trigliceridov, manj pa holesterola, npr. klofibrat, bezafibrat
arteriosklerotičnega | ARTERIOSKLEROTIČEN - nanašajoč se na arteriosklerozo
arteriosklerotičnemu | ARTERIOSKLEROTIČEN - nanašajoč se na arteriosklerozo
arteriosklerotičnima | ARTERIOSKLEROTIČEN - nanašajoč se na arteriosklerozo
arteriosklerotičnimi | ARTERIOSKLEROTIČEN - nanašajoč se na arteriosklerozo
arteriosklerotičnost | [pravopis]
avdiovizualizacijama | AVDIOVIZUALIZACIJA - [pravopis]
avdiovizualizacijami | AVDIOVIZUALIZACIJA - [pravopis]
avskultatoričnostima | AVSKULTATORIČNOST - [pravopis]
avstrijskoštajerskem | AVSTRIJSKOŠTAJERSKI - [epravopis] nanašajoč se na avstrijsko Štajersko
avstrijskoštajerskih | AVSTRIJSKOŠTAJERSKI - [epravopis] nanašajoč se na avstrijsko Štajersko
avstrijskoštajerskim | AVSTRIJSKOŠTAJERSKI - [epravopis] nanašajoč se na avstrijsko Štajersko
avstromarksističnega | AVSTROMARKSISTIČEN - nanašajoč se na avstromarksiste ali avstromarksizem
avstromarksističnemu | AVSTROMARKSISTIČEN - nanašajoč se na avstromarksiste ali avstromarksizem
avstromarksističnima | AVSTROMARKSISTIČEN - nanašajoč se na avstromarksiste ali avstromarksizem
avstromarksističnimi | AVSTROMARKSISTIČEN - nanašajoč se na avstromarksiste ali avstromarksizem
avtobiografičnostima | AVTOBIOGRAFIČNOST - lastnost, značilnost avtobiografskega
avtoelektrikaričinem | AVTOELEKTRIKARIČIN - [pravopis]
avtoelektrikaričinih | AVTOELEKTRIKARIČIN - [pravopis]
avtoelektrikaričinim | AVTOELEKTRIKARIČIN - [pravopis]
avtoelektrikarjevega | AVTOELEKTRIKARJEV - [pravopis]
avtoelektrikarjevemu | AVTOELEKTRIKARJEV - [pravopis]
avtoelektrikarjevima | AVTOELEKTRIKARJEV - [pravopis]
avtoelektrikarjevimi | AVTOELEKTRIKARJEV - [pravopis]
avtopopravljalnicama | AVTOPOPRAVLJALNICA - delavnica za popravljanje avtomobilov
avtopopravljalnicami | AVTOPOPRAVLJALNICA - delavnica za popravljanje avtomobilov
azaspirodekandionska | AZASPIRODEKANDIONSKI - [farm.] v zvezi »azaspirodekandionski derivati«:
azaspirodekandionske | AZASPIRODEKANDIONSKI - [farm.] v zvezi »azaspirodekandionski derivati«:
azaspirodekandionski | [farm.] v zvezi »azaspirodekandionski derivati«:
azaspirodekandionsko | AZASPIRODEKANDIONSKI - [farm.] v zvezi »azaspirodekandionski derivati«:
balkanskopolotoškega | BALKANSKOPOLOTOŠKI - [pravopis]
balkanskopolotoškemu | BALKANSKOPOLOTOŠKI - [pravopis]
balkanskopolotoškima | BALKANSKOPOLOTOŠKI - [pravopis]
balkanskopolotoškimi | BALKANSKOPOLOTOŠKI - [pravopis]
biodegradibilnostima | BIODEGRADIBILNOST - [geog.] lastnost odmrlih organskih spojin, da se s pomočjo mikroorganizmov naravno razkrojijo, s čimer se zmanjšuje škodljivost v okolje vnesenih odpadnih snovi
biointrapelmikritoma | BIOINTRAPELMIKRIT - [geol.] mikrit, ki vsebuje več kot 25 % fosilov, intraklastov in peletov
biokompatibilnostima | BIOKOMPATIBILNOST - [farm.] neškodljiva prisotnost ali interakcija materiala ali dostavnega sistema v biološkem okolju ali z biološkim okoljem, npr. celice, tkiva, organi
birokratiziranostima | BIROKRATIZIRANOST - [pravopis]
blagonaklonjenostima | BLAGONAKLONJENOST - dobrohotna, prijateljska naklonjenost
bohinjskobistriškega | BOHINJSKOBISTRIŠKI - [pravopis]
bohinjskobistriškemu | BOHINJSKOBISTRIŠKI - [pravopis]
bohinjskobistriškima | BOHINJSKOBISTRIŠKI - [pravopis]
bohinjskobistriškimi | BOHINJSKOBISTRIŠKI - [pravopis]
botrioblastokonidija | BOTRIOBLASTOKONIDIJ - [bot.]
botrioblastokonidije | BOTRIOBLASTOKONIDIJ - [bot.]
botrioblastokonidiji | BOTRIOBLASTOKONIDIJ - [bot.]
botrioblastokonidiju | BOTRIOBLASTOKONIDIJ - [bot.]
brezkompromisnostima | BREZKOMPROMISNOST - lastnost brezkompromisnega
brezkonfesionalnosti | BREZKONFESIONALNOST - lastnost, značilnost človeka brez konfesije, veroizpovedi
brezkonkurenčnostima | BREZKONKURENČNOST - [pravopis]
brezperspektivnostih | BREZPERSPEKTIVNOST - brezperspektivno stanje
brezperspektivnostim | BREZPERSPEKTIVNOST - brezperspektivno stanje
brezperspektivnostjo | BREZPERSPEKTIVNOST - brezperspektivno stanje
brezperspektivnostma | BREZPERSPEKTIVNOST - brezperspektivno stanje
brezperspektivnostmi | BREZPERSPEKTIVNOST - brezperspektivno stanje
brezskrupuloznostima | BREZSKRUPULOZNOST
brezzgodovinskostima | BREZZGODOVINSKOST - [pravopis]
brezživljenjskostima | BREZŽIVLJENJSKOST - [pravopis]
britanskohonduraškem | BRITANSKOHONDURAŠKI - [pravopis]
britanskohonduraških | BRITANSKOHONDURAŠKI - [pravopis]
britanskohonduraškim | BRITANSKOHONDURAŠKI - [pravopis]
bronhospazmolitikoma | BRONHOSPAZMOLITIK - [farm.] učinkovina, ki sprošča gladke mišice v steni dihalne cevi in zato olajšuje izmenjavo plinov med pljuči in okolico
brzopopravljalnicama | BRZOPOPRAVLJALNICA - [pravopis]
brzopopravljalnicami | BRZOPOPRAVLJALNICA - [pravopis]
cerkvenopolitičnosti | CERKVENOPOLITIČNOST - [pravopis]
cerkvenoslovanščinah | CERKVENOSLOVANŠČINA - [pravopis]
cerkvenoslovanščinam | CERKVENOSLOVANŠČINA - [pravopis]
cerkvenoupravnostima | CERKVENOUPRAVNOST - [pravopis]
ciklostratigrafijama | CIKLOSTRATIGRAFIJA - [geol.] stratigrafija, ki obravnava kamnine v ciklih glede na nastanek in uničenje, npr. cikel dogodkov v glacialu in interglacialu
ciklostratigrafijami | CIKLOSTRATIGRAFIJA - [geol.] stratigrafija, ki obravnava kamnine v ciklih glede na nastanek in uničenje, npr. cikel dogodkov v glacialu in interglacialu
cirkumflektiranostih | CIRKUMFLEKTIRANOST - [pravopis]
cirkumflektiranostim | CIRKUMFLEKTIRANOST - [pravopis]
cirkumflektiranostjo | CIRKUMFLEKTIRANOST - [pravopis]
cirkumflektiranostma | CIRKUMFLEKTIRANOST - [pravopis]
cirkumflektiranostmi | CIRKUMFLEKTIRANOST - [pravopis]
cistouretroskopijama | CISTOURETROSKOPIJA - [pravopis]
cistouretroskopijami | CISTOURETROSKOPIJA - [pravopis]
civilnozaščitničinem | CIVILNOZAŠČITNIČIN - [pravopis]
civilnozaščitničinih | CIVILNOZAŠČITNIČIN - [pravopis]
civilnozaščitničinim | CIVILNOZAŠČITNIČIN - [pravopis]
časopisnoagencijskem | ČASOPISNOAGENCIJSKI - [pravopis]
časopisnoagencijskih | ČASOPISNOAGENCIJSKI - [pravopis]
časopisnoagencijskim | ČASOPISNOAGENCIJSKI - [pravopis]
črnograditeljičinega | ČRNOGRADITELJIČIN - [pravopis]
črnograditeljičinemu | ČRNOGRADITELJIČIN - [pravopis]
črnograditeljičinima | ČRNOGRADITELJIČIN - [pravopis]
črnograditeljičinimi | ČRNOGRADITELJIČIN - [pravopis]
davčnoinšpekcijskega | DAVČNOINŠPEKCIJSKI - [epravopis] nanašajoč se na davčno inšpekcijo
davčnoinšpekcijskemu | DAVČNOINŠPEKCIJSKI - [epravopis] nanašajoč se na davčno inšpekcijo
davčnoinšpekcijskima | DAVČNOINŠPEKCIJSKI - [epravopis] nanašajoč se na davčno inšpekcijo
davčnoinšpekcijskimi | DAVČNOINŠPEKCIJSKI - [epravopis] nanašajoč se na davčno inšpekcijo
decentralističnostih | DECENTRALISTIČNOST - [pravopis]
decentralističnostim | DECENTRALISTIČNOST - [pravopis]
decentralističnostjo | DECENTRALISTIČNOST - [pravopis]
decentralističnostma | DECENTRALISTIČNOST - [pravopis]
decentralističnostmi | DECENTRALISTIČNOST - [pravopis]
decentralizacijskega | DECENTRALIZACIJSKI - nanašajoč se na decentralizacijo
decentralizacijskemu | DECENTRALIZACIJSKI - nanašajoč se na decentralizacijo
decentralizacijskima | DECENTRALIZACIJSKI - nanašajoč se na decentralizacijo
decentralizacijskimi | DECENTRALIZACIJSKI - nanašajoč se na decentralizacijo
decentraliziranostih | DECENTRALIZIRANOST - [pravopis]
decentraliziranostim | DECENTRALIZIRANOST - [pravopis]
decentraliziranostjo | DECENTRALIZIRANOST - [pravopis]
decentraliziranostma | DECENTRALIZIRANOST - [pravopis]
decentraliziranostmi | DECENTRALIZIRANOST - [pravopis]
decimalnoštevilskega | DECIMALNOŠTEVILSKI - [pravopis]
decimalnoštevilskemu | DECIMALNOŠTEVILSKI - [pravopis]
decimalnoštevilskima | DECIMALNOŠTEVILSKI - [pravopis]
decimalnoštevilskimi | DECIMALNOŠTEVILSKI - [pravopis]
deindustrializacijah | DEINDUSTRIALIZACIJA - [geog.] navadno načrtno nadomeščanje industrijske proizvodnje na določenem območju z drugimi dejavnostmi, s čimer industrija postaja gospodarsko postranska dejavnost
deindustrializacijam | DEINDUSTRIALIZACIJA - [geog.] navadno načrtno nadomeščanje industrijske proizvodnje na določenem območju z drugimi dejavnostmi, s čimer industrija postaja gospodarsko postranska dejavnost
dekompenzacijskostih | DEKOMPENZACIJSKOST - [pravopis]
dekompenzacijskostim | DEKOMPENZACIJSKOST - [pravopis]
dekompenzacijskostjo | DEKOMPENZACIJSKOST - [pravopis]
dekompenzacijskostma | DEKOMPENZACIJSKOST - [pravopis]
dekompenzacijskostmi | DEKOMPENZACIJSKOST - [pravopis]
dekoncentriranostima | DEKONCENTRIRANOST - [pravopis]
dekonstitutivnostima | DEKONSTITUTIVNOST - [pravopis]
dekontaminiranostima | DEKONTAMINIRANOST - [pravopis]
dematerializiranosti | DEMATERIALIZIRANOST - lastnost, značilnost dematerializiranega
demilitariziranostih | DEMILITARIZIRANOST - [pravopis]
demilitariziranostim | DEMILITARIZIRANOST - [pravopis]
demilitariziranostjo | DEMILITARIZIRANOST - [pravopis]
demilitariziranostma | DEMILITARIZIRANOST - [pravopis]
demilitariziranostmi | DEMILITARIZIRANOST - [pravopis]
demokristjanskostima | DEMOKRISTJANSKOST - [pravopis]
denacionalizacijskem | DENACIONALIZACIJSKI - nanašajoč se na denacionalizacija 1
denacionalizacijskih | DENACIONALIZACIJSKI - nanašajoč se na denacionalizacija 1
denacionalizacijskim | DENACIONALIZACIJSKI - nanašajoč se na denacionalizacija 1
denacionalizirancema | DENACIONALIZIRANEC - kdor je dobil vrnjeno nacionalizirano premoženje ali je upravičen do njega
denacionaliziranosti | DENACIONALIZIRANOST - [pravopis]
denarnogospodarskega | DENARNOGOSPODARSKI - nanašajoč se na denarno gospodarstvo
denarnogospodarskemu | DENARNOGOSPODARSKI - nanašajoč se na denarno gospodarstvo
denarnogospodarskima | DENARNOGOSPODARSKI - nanašajoč se na denarno gospodarstvo
denarnogospodarskimi | DENARNOGOSPODARSKI - nanašajoč se na denarno gospodarstvo
dendrogeomorfologija | [geol.] določanje reliefa in geomorfoloških procesov na podlagi letnega prirasta lesa
dendrogeomorfologije | DENDROGEOMORFOLOGIJA - [geol.] določanje reliefa in geomorfoloških procesov na podlagi letnega prirasta lesa
dendrogeomorfologiji | DENDROGEOMORFOLOGIJA - [geol.] določanje reliefa in geomorfoloških procesov na podlagi letnega prirasta lesa
dendrogeomorfologijo | DENDROGEOMORFOLOGIJA - [geol.] določanje reliefa in geomorfoloških procesov na podlagi letnega prirasta lesa
dendroklimatologijah | DENDROKLIMATOLOGIJA - [geog.] del klimatologije, ki raziskuje podnebne razmere v posameznih obdobjih po enoletnih debelinskih prirastih drevesnih debel
dendroklimatologijam | DENDROKLIMATOLOGIJA - [geog.] del klimatologije, ki raziskuje podnebne razmere v posameznih obdobjih po enoletnih debelinskih prirastih drevesnih debel
deoksiribonukleazama | DEOKSIRIBONUKLEAZA - [farm.] encim, ki katalizira hidrolizo DNA
deoksiribonukleazami | DEOKSIRIBONUKLEAZA - [farm.] encim, ki katalizira hidrolizo DNA
deoksiribonukleinska | DEOKSIRIBONUKLEINSKI - [esskj] 
deoksiribonukleinske | DEOKSIRIBONUKLEINSKI - [esskj] 
deoksiribonukleinski | [esskj] 
deoksiribonukleinsko | DEOKSIRIBONUKLEINSKI - [esskj] 
deoksiribonukleotida | DEOKSIRIBONUKLEOTID - [farm.] deoksiribonukleozid, osnovni gradnik DNA, sestavljen iz deoksiriboze, na katero so na položaju 5' z estrsko vezjo vezane ena, dve ali tri fosfatne skupine
deoksiribonukleotide | DEOKSIRIBONUKLEOTID - [farm.] deoksiribonukleozid, osnovni gradnik DNA, sestavljen iz deoksiriboze, na katero so na položaju 5' z estrsko vezjo vezane ena, dve ali tri fosfatne skupine
deoksiribonukleotidi | DEOKSIRIBONUKLEOTID - [farm.] deoksiribonukleozid, osnovni gradnik DNA, sestavljen iz deoksiriboze, na katero so na položaju 5' z estrsko vezjo vezane ena, dve ali tri fosfatne skupine
deoksiribonukleotidu | DEOKSIRIBONUKLEOTID - [farm.] deoksiribonukleozid, osnovni gradnik DNA, sestavljen iz deoksiriboze, na katero so na položaju 5' z estrsko vezjo vezane ena, dve ali tri fosfatne skupine
deoksiribonukleozida | DEOKSIRIBONUKLEOZID - [farm.]
deoksiribonukleozide | DEOKSIRIBONUKLEOZID - [farm.]
deoksiribonukleozidi | DEOKSIRIBONUKLEOZID - [farm.]
deoksiribonukleozidu | DEOKSIRIBONUKLEOZID - [farm.]
deprofesionalizacija | odstranitev, ukinitev profesionalizacije
deprofesionalizacije | DEPROFESIONALIZACIJA - odstranitev, ukinitev profesionalizacije
deprofesionalizaciji | DEPROFESIONALIZACIJA - odstranitev, ukinitev profesionalizacije
deprofesionalizacijo | DEPROFESIONALIZACIJA - odstranitev, ukinitev profesionalizacije
dermatovenerologijah | DERMATOVENEROLOGIJA - veda o kožnih in spolnih boleznih
dermatovenerologijam | DERMATOVENEROLOGIJA - veda o kožnih in spolnih boleznih
desettisočtolarskega | DESETTISOČTOLARSKI - ki ima vrednost desetih tisočev tolarjev
desettisočtolarskemu | DESETTISOČTOLARSKI - ki ima vrednost desetih tisočev tolarjev
desettisočtolarskima | DESETTISOČTOLARSKI - ki ima vrednost desetih tisočev tolarjev
desettisočtolarskimi | DESETTISOČTOLARSKI - ki ima vrednost desetih tisočev tolarjev
determinističnostima | DETERMINISTIČNOST - [pravopis]
devetdesetletničinem | DEVETDESETLETNIČIN - [pravopis]
devetdesetletničinih | DEVETDESETLETNIČIN - [pravopis]
devetdesetletničinim | DEVETDESETLETNIČIN - [pravopis]
devetindevetdesetega | DEVETINDEVETDESETI - ki v zapovrstju ustreza številu devetindevetdeset
devetindevetdesetemu | DEVETINDEVETDESETI - ki v zapovrstju ustreza številu devetindevetdeset
devetindevetdesetima | DEVETINDEVETDESETI - ki v zapovrstju ustreza številu devetindevetdeset
devetindevetdesetimi | DEVETINDEVETDESETI - ki v zapovrstju ustreza številu devetindevetdeset
devetinsedemdesetega | DEVETINSEDEMDESETI - ki v zapovrstju ustreza številu devetinsedemdeset
devetinsedemdesetemu | DEVETINSEDEMDESETI - ki v zapovrstju ustreza številu devetinsedemdeset
devetinsedemdesetima | DEVETINSEDEMDESETI - ki v zapovrstju ustreza številu devetinsedemdeset
devetinsedemdesetimi | DEVETINSEDEMDESETI - ki v zapovrstju ustreza številu devetinsedemdeset
devetinštiridesetega | DEVETINŠTIRIDESETI - ki v zapovrstju ustreza številu devetinštirideset
devetinštiridesetemu | DEVETINŠTIRIDESETI - ki v zapovrstju ustreza številu devetinštirideset
devetinštiridesetima | DEVETINŠTIRIDESETI - ki v zapovrstju ustreza številu devetinštirideset
devetinštiridesetimi | DEVETINŠTIRIDESETI - ki v zapovrstju ustreza številu devetinštirideset
devetnajstletničinem | DEVETNAJSTLETNIČIN - [pravopis]
devetnajstletničinih | DEVETNAJSTLETNIČIN - [pravopis]
devetnajstletničinim | DEVETNAJSTLETNIČIN - [pravopis]
deziluzionističnosti | DEZILUZIONISTIČNOST - [pravopis]
dezintegracijskostih | DEZINTEGRACIJSKOST - [pravopis]
dezintegracijskostim | DEZINTEGRACIJSKOST - [pravopis]
dezintegracijskostjo | DEZINTEGRACIJSKOST - [pravopis]
dezintegracijskostma | DEZINTEGRACIJSKOST - [pravopis]
dezintegracijskostmi | DEZINTEGRACIJSKOST - [pravopis]
dezinteresiranostima | DEZINTERESIRANOST - stanje brez zanimanja, navdušenja
dezorganizatoričinem | DEZORGANIZATORIČIN - [pravopis]
dezorganizatoričinih | DEZORGANIZATORIČIN - [pravopis]
dezorganizatoričinim | DEZORGANIZATORIČIN - [pravopis]
dezorganiziranostima | DEZORGANIZIRANOST - lastnost, značilnost dezorganiziranega
diakisdodekaedričnem | DIAKISDODEKAEDRIČEN - [gem.] v zvezi »diakisdodekaedrični razred«: simetrijski razred kubičnega sistema s štirimi troštevnimi osmi, usmerjenimi po telesnih diagonalah kocke, in tremi medsebojno pravokotnimi ravninami simetrije
diakisdodekaedričnih | DIAKISDODEKAEDRIČEN - [gem.] v zvezi »diakisdodekaedrični razred«: simetrijski razred kubičnega sistema s štirimi troštevnimi osmi, usmerjenimi po telesnih diagonalah kocke, in tremi medsebojno pravokotnimi ravninami simetrije
diakisdodekaedričnim | DIAKISDODEKAEDRIČEN - [gem.] v zvezi »diakisdodekaedrični razred«: simetrijski razred kubičnega sistema s štirimi troštevnimi osmi, usmerjenimi po telesnih diagonalah kocke, in tremi medsebojno pravokotnimi ravninami simetrije
dibenzodiazepinskega | DIBENZODIAZEPINSKI - [farm.] v zvezi »dibenzodiazepinski derivati«: nevroleptiki s tricikličnim dibenzodiazepinskim skeletom, na katerega je vezan dodaten piperazinski obroč, ki ovirajo vezavo dopamina na dopaminske receptorje in delujejo tudi na serotoninski sistem, npr. klozapin
dibenzodiazepinskemu | DIBENZODIAZEPINSKI - [farm.] v zvezi »dibenzodiazepinski derivati«: nevroleptiki s tricikličnim dibenzodiazepinskim skeletom, na katerega je vezan dodaten piperazinski obroč, ki ovirajo vezavo dopamina na dopaminske receptorje in delujejo tudi na serotoninski sistem, npr. klozapin
